"player_name","age","player_height","player_weight","draft_year","draft_round","draft_number","gp","pts","reb","ast","net_rating"
AJ Griffin,"19.0","198.12","99.79024","2022","1","16","72","8.9","2.1","1.0","1.5"
Andrew Nembhard,"23.0","190.5","86.636072","2022","2","31","75","9.5","2.7","4.5",-5.9
Bennedict Mathurin,"21.0","195.58","95.25432","2022","1","6","78","16.7","4.1","1.5",-4.3
Blake Wesley,"20.0","193.04","83.91452","2022","1","25","37","5.0","2.2","2.6",-13.4
Bryce McGowens,"20.0","198.12","79.3786","2022","2","40","46","5.3","2.0","1.2",-9.7
Caleb Houstan,"20.0","203.2","92.98635999999999","2022","2","32","51","3.8","1.9","0.6",-5.3
Christian Braun,"22.0","198.12","99.79024","2022","1","21","76","4.7","2.4","0.8",-4.3
Christian Koloko,"23.0","213.36","104.32616","2022","2","33","58","3.1","2.9","0.5","9.0"
Dalen Terry,"20.0","200.66","88.45044","2022","1","18","38","2.2","1.0","0.6","3.3"
David Roddy,"22.0","193.04","115.66596000000001","2022","1","23","70","6.7","2.8","0.8",-1.9
Dyson Daniels,"20.0","200.66","90.264808","2022","1","8","59","3.8","3.2","2.3","0.4"
Isaiah Mobley,"23.0","203.2","107.95489599999999","2022","2","49","12","2.6","1.7","0.3","19.8"
Jabari Smith Jr.,"20.0","210.82","99.79024","2022","1","3","79","12.8","7.2","1.3",-11.3
Jabari Walker,"20.0","200.66","90.7184","2022","2","57","56","3.9","2.3","0.6",-9.0
Jaden Hardy,"20.0","190.5","89.811216","2022","2","37","48","8.8","1.9","1.4",-3.1
Jaden Ivey,"21.0","193.04","88.45044","2022","1","5","74","16.3","3.9","5.2",-13.0
Jake LaRavia,"21.0","200.66","106.59411999999999","2022","1","19","35","3.0","1.8","0.6",-7.6
Jalen Duren,"19.0","210.82","113.398","2022","1","13","67","9.1","8.9","1.1",-8.3
Jalen Williams,"22.0","195.58","95.707912","2022","1","12","75","14.1","4.5","3.3",-1.0
Jaylin Williams,"21.0","205.74","108.86208","2022","2","34","49","5.9","4.9","1.6",-4.6
JD Davison,"20.0","185.42","88.45044","2022","2","53","12","1.6","0.8","0.9",-5.8
Jeremy Sochan,"20.0","203.2","104.32616","2022","1","9","56","11.0","5.3","2.5",-7.0
Johnny Davis,"21.0","193.04","88.45044","2022","1","10","28","5.8","2.3","1.0",-6.2
Josh Minott,"20.0","203.2","92.98635999999999","2022","2","45","15","3.1","1.7","0.3","10.4"
Keegan Murray,"22.0","203.2","102.0582","2022","1","4","80","12.2","4.6","1.2","1.7"
Kendall Brown,"20.0","200.66","92.98635999999999","2022","2","48","6","1.5","1.0","0.5","8.2"
Kennedy Chandler,"20.0","180.34","77.11064","2022","2","38","36","2.2","1.1","1.6",-5.4
Malaki Branham,"20.0","193.04","81.64656","2022","1","20","66","10.2","2.7","1.9",-11.1
MarJon Beauchamp,"22.0","200.66","90.264808","2022","1","24","52","5.1","2.2","0.7",-7.2
Mark Williams,"21.0","213.36","108.86208","2022","1","15","43","9.0","7.1","0.4",-4.7
Max Christie,"20.0","195.58","86.18248","2022","2","35","41","3.1","1.8","0.5",-7.1
Moussa Diabate,"21.0","208.28","95.25432","2022","2","43","22","2.7","2.3","0.2",-3.2
Nikola Jovic,"20.0","208.28","92.98635999999999","2022","1","27","15","5.5","2.1","0.7",-3.5
Ochai Agbaji,"23.0","195.58","97.52228000000001","2022","1","14","59","7.9","2.1","1.1",-0.2
Ousmane Dieng,"20.0","205.74","83.91452","2022","1","11","39","4.9","2.7","1.2","2.9"
Paolo Banchero,"20.0","208.28","113.398","2022","1","1","72","20.0","6.9","3.7",-4.2
Patrick Baldwin,"20.0","205.74","99.79024","2022","1","28","31","3.9","1.3","0.4",-12.3
Peyton Watson,"20.0","200.66","90.7184","2022","1","30","23","3.3","1.6","0.5",-12.0
Ryan Rollins,"20.0","190.5","81.64656","2022","2","44","12","1.9","1.0","0.5",-38.1
Shaedon Sharpe,"20.0","195.58","90.7184","2022","1","7","80","9.9","3.0","1.2",-7.6
Tari Eason,"22.0","203.2","97.52228000000001","2022","1","17","82","9.3","6.0","1.1",-4.8
Trevor Keels,"19.0","193.04","100.243832","2022","2","42","3","1.0","0.7","0.0",-94.7
Tyrese Martin,"24.0","198.12","97.52228000000001","2022","2","51","16","1.3","0.8","0.1","2.3"
TyTy Washington Jr.,"21.0","190.5","88.45044","2022","1","29","31","4.7","1.5","1.5",-6.1
Vince Williams Jr.,"22.0","193.04","92.98635999999999","2022","2","47","15","2.0","1.0","0.3",-14.8
Walker Kessler,"21.0","213.36","111.13004","2022","1","22","74","9.2","8.4","0.9","3.0"
Wendell Moore Jr.,"21.0","195.58","97.52228000000001","2022","1","26","29","1.4","0.6","0.6",-13.5
